r002,r003,r004,r005,r006,label
9058376,10693950,97084,44,156453,maligne
9137375,10161920,88947,42,150734,maligne
9147659,10309408,91541,46,151139,maligne
9413278,10174759,88444,41,148370,maligne
9304514,10364928,93053,46,148847,maligne
9204925,10107723,92300,45,149709,maligne
9306763,10189847,85507,48,149338,maligne
9228228,10228123,92823,50,147487,maligne
9292648,10183696,91091,45,148007,maligne
9347827,10234854,91327,48,150088,maligne
9070851,10156297,88287,43,148926,maligne
9234182,10209992,88389,46,149390,maligne
9258927,9409388,92198,47,148142,maligne
9521264,10160327,84642,45,148866,maligne
9080111,10269467,91219,43,148513,maligne
9249885,10054580,85638,44,150040,maligne
9189425,10207595,91608,44,147706,maligne
9201466,10193765,84477,46,148975,maligne
9247817,10181646,91035,44,146723,maligne
9196440,9395585,89841,46,149206,maligne
9171241,10256585,86393,46,148873,maligne
9379463,9457082,93067,47,148988,maligne
9329137,10021687,86927,46,148237,maligne
9348885,10258411,91076,45,150662,maligne
9531344,10070948,86507,44,150889,maligne
12027585,10181670,84298,47,150140,maligne
15934407,10160969,103781,45,146830,maligne
13470266,10169680,89629,44,149720,maligne
9253230,10179303,85694,48,150902,maligne
9370868,10185425,92196,43,149668,maligne
9341547,10470810,85079,47,155481,maligne
9307631,10224714,94544,45,149283,maligne
9276531,10270022,90257,67,148391,maligne
9388964,10142092,87660,50,149656,maligne
9430749,10296445,92017,65,148376,maligne
9377715,10560291,87423,45,152061,maligne
9386620,9878256,87653,44,152475,maligne
9319206,9960627,92058,46,148867,maligne
9589158,10208346,87574,44,150124,maligne
9344714,10127510,89962,46,149462,maligne
9367725,9630118,86932,48,149817,maligne
9348317,10724248,94953,46,149301,maligne
9321160,10259217,86026,46,149440,maligne
9674325,10175603,90314,55,150767,maligne
9352605,10147666,89070,64,149145,maligne
9292808,10702092,90443,43,148409,maligne
9306718,10355095,91172,44,150084,maligne
9281458,10304649,88374,43,145854,maligne
9227643,10364017,93842,41,151316,maligne
9297679,9582737,88006,49,150673,maligne
9382247,10708621,90372,42,151652,maligne
9248353,10322208,93940,44,149308,maligne
9208377,10099385,90330,44,148132,maligne
9259809,10251659,90930,46,148799,maligne
9273428,10134259,88630,66,148959,maligne
9169202,10278179,93549,46,145376,maligne
9249918,9382513,86219,43,150087,maligne
9359472,10109304,90562,42,150780,maligne
9288748,10156108,87316,44,149790,maligne
9362793,10053438,85556,46,149812,maligne
9293278,10150594,90353,46,150518,maligne
9391524,10139380,83204,45,149401,maligne
9341750,10275266,84853,44,151031,maligne
9217256,9252868,84749,45,151469,maligne
9319090,10122380,82839,44,151454,maligne
9266037,10216562,88237,48,146479,maligne
