combo,benigne,maligne,maligno_ratio
"(4, 1, 4, 3, 3)",0,1,1.0
"(4, 2, 1, 1, 4)",0,1,1.0
"(4, 2, 2, 2, 4)",5,1,0.16666666666666666
"(4, 2, 2, 1, 4)",3,1,0.25
"(4, 3, 1, 2, 3)",24,1,0.04
"(4, 3, 1, 3, 3)",39,1,0.025
"(2, 1, 3, 3, 4)",5,1,0.16666666666666666
"(4, 2, 2, 3, 4)",21,1,0.045454545454545456
"(1, 1, 4, 3, 3)",1,1,0.5
"(2, 1, 3, 3, 1)",177,1,0.0056179775280898875
"(2, 1, 3, 2, 3)",0,1,1.0
"(4, 3, 4, 4, 3)",9,1,0.1
"(4, 3, 3, 1, 3)",37,1,0.02631578947368421
"(4, 3, 3, 2, 3)",26,1,0.037037037037037035
"(4, 3, 3, 3, 3)",40,1,0.024390243902439025
"(1, 4, 2, 3, 3)",16,1,0.058823529411764705
"(1, 4, 2, 4, 1)",0,1,1.0
"(2, 2, 3, 4, 2)",2,1,0.3333333333333333
"(2, 2, 3, 1, 4)",1,1,0.5
"(3, 4, 2, 1, 2)",383,1,0.0026041666666666665
"(2, 2, 2, 3, 3)",2,1,0.3333333333333333
"(2, 2, 2, 1, 1)",0,1,1.0
"(2, 2, 2, 1, 3)",24,1,0.04
"(2, 2, 1, 2, 4)",0,1,1.0
"(2, 2, 1, 1, 3)",50,1,0.0196078431372549
"(1, 4, 3, 4, 1)",0,1,1.0
"(1, 4, 3, 4, 3)",15,1,0.0625
"(3, 4, 2, 4, 4)",0,1,1.0
"(3, 4, 2, 4, 1)",0,1,1.0
"(4, 1, 1, 3, 2)",0,1,1.0
"(3, 4, 3, 4, 2)",21,1,0.045454545454545456
"(4, 2, 4, 4, 4)",52,1,0.018867924528301886
"(2, 3, 1, 3, 1)",0,1,1.0
"(2, 2, 4, 2, 3)",0,1,1.0
"(2, 2, 4, 4, 1)",0,1,1.0
"(1, 2, 1, 3, 3)",6,1,0.14285714285714285
"(2, 3, 1, 1, 1)",0,1,1.0
"(2, 3, 3, 1, 2)",1,1,0.5
"(2, 3, 3, 2, 2)",2,1,0.3333333333333333
"(3, 3, 2, 3, 1)",31,1,0.03125
"(3, 3, 2, 1, 2)",266,1,0.003745318352059925
"(1, 4, 1, 4, 2)",1,1,0.5
"(2, 3, 2, 4, 2)",2,1,0.3333333333333333
"(3, 4, 1, 3, 2)",16,1,0.058823529411764705
"(3, 4, 1, 1, 2)",61,1,0.016129032258064516
"(3, 3, 3, 3, 2)",14,1,0.06666666666666667
"(1, 2, 3, 2, 1)",0,1,1.0
"(2, 4, 1, 1, 1)",0,1,1.0
"(2, 3, 4, 4, 2)",1,1,0.5
"(2, 3, 4, 1, 4)",0,1,1.0
"(2, 3, 4, 2, 3)",0,1,1.0
"(1, 3, 4, 3, 3)",0,1,1.0
"(2, 3, 3, 4, 3)",9,1,0.1
"(3, 2, 2, 2, 2)",1,1,0.5
"(3, 2, 2, 1, 2)",1,1,0.5
"(3, 2, 3, 2, 2)",0,1,1.0
"(1, 2, 4, 4, 3)",6,1,0.14285714285714285
"(1, 2, 3, 3, 3)",1,1,0.5
"(1, 2, 3, 4, 1)",0,1,1.0
"(2, 4, 2, 1, 4)",3,1,0.25
"(1, 3, 3, 4, 1)",0,1,1.0
"(1, 3, 3, 4, 2)",0,1,1.0
"(3, 2, 2, 3, 2)",1,1,0.5
"(3, 1, 3, 4, 2)",26,1,0.037037037037037035
"(3, 1, 3, 3, 3)",67,1,0.014705882352941176
"(2, 4, 3, 2, 4)",0,1,1.0
"(2, 4, 3, 2, 1)",0,1,1.0
"(3, 1, 3, 3, 2)",1,1,0.5
"(1, 3, 2, 4, 2)",0,1,1.0
"(3, 1, 2, 2, 2)",1,1,0.5
"(3, 1, 3, 4, 3)",353,1,0.002824858757062147
"(3, 1, 1, 3, 3)",1,1,0.5
