combo,benigne,maligne
"(3, 4, 2, 3, 4)",9,2
"(1, 4, 4, 1, 2)",0,2
"(4, 2, 1, 2, 4)",0,2
"(1, 2, 3, 4, 2)",1,2
"(2, 2, 1, 4, 2)",0,2
"(1, 2, 2, 1, 3)",24,2
"(3, 4, 1, 3, 4)",0,2
"(2, 4, 3, 2, 3)",0,2
"(1, 3, 1, 4, 2)",0,2
"(2, 1, 3, 1, 3)",0,1
"(2, 1, 3, 1, 2)",2,1
"(4, 1, 4, 3, 3)",0,1
"(4, 2, 1, 1, 4)",0,1
"(4, 2, 2, 2, 4)",5,1
"(4, 2, 2, 1, 4)",3,1
"(4, 3, 1, 2, 3)",24,1
"(4, 3, 1, 3, 3)",39,1
"(2, 1, 3, 3, 4)",5,1
"(4, 2, 2, 3, 4)",21,1
"(1, 1, 4, 3, 3)",1,1
"(2, 1, 3, 3, 1)",177,1
"(2, 1, 3, 2, 3)",0,1
"(4, 3, 4, 4, 3)",9,1
"(4, 3, 3, 1, 3)",37,1
"(4, 3, 3, 2, 3)",26,1
"(4, 3, 3, 3, 3)",40,1
"(1, 4, 2, 3, 3)",16,1
"(1, 4, 2, 4, 1)",0,1
"(2, 2, 3, 4, 2)",2,1
"(2, 2, 3, 1, 4)",1,1
"(3, 4, 2, 1, 2)",383,1
"(2, 2, 2, 3, 3)",2,1
"(2, 2, 2, 1, 1)",0,1
"(2, 2, 2, 1, 3)",24,1
"(2, 2, 1, 2, 4)",0,1
"(2, 2, 1, 1, 3)",50,1
"(1, 4, 3, 4, 1)",0,1
"(1, 4, 3, 4, 3)",15,1
"(3, 4, 2, 4, 4)",0,1
"(3, 4, 2, 4, 1)",0,1
"(4, 1, 1, 3, 2)",0,1
"(3, 4, 3, 4, 2)",21,1
"(4, 2, 4, 4, 4)",52,1
"(2, 3, 1, 3, 1)",0,1
"(2, 2, 4, 2, 3)",0,1
"(2, 2, 4, 4, 1)",0,1
"(1, 2, 1, 3, 3)",6,1
"(2, 3, 1, 1, 1)",0,1
"(2, 3, 3, 1, 2)",1,1
"(2, 3, 3, 2, 2)",2,1
"(3, 3, 2, 3, 1)",31,1
"(3, 3, 2, 1, 2)",266,1
"(1, 4, 1, 4, 2)",1,1
"(2, 3, 2, 4, 2)",2,1
"(3, 4, 1, 3, 2)",16,1
"(3, 4, 1, 1, 2)",61,1
"(3, 3, 3, 3, 2)",14,1
"(1, 2, 3, 2, 1)",0,1
"(2, 4, 1, 1, 1)",0,1
"(2, 3, 4, 4, 2)",1,1
"(2, 3, 4, 1, 4)",0,1
"(2, 3, 4, 2, 3)",0,1
"(1, 3, 4, 3, 3)",0,1
"(2, 3, 3, 4, 3)",9,1
"(3, 2, 2, 2, 2)",1,1
"(3, 2, 2, 1, 2)",1,1
"(3, 2, 3, 2, 2)",0,1
"(1, 2, 4, 4, 3)",6,1
"(1, 2, 3, 3, 3)",1,1
"(1, 2, 3, 4, 1)",0,1
"(2, 4, 2, 1, 4)",3,1
"(1, 3, 3, 4, 1)",0,1
"(1, 3, 3, 4, 2)",0,1
"(3, 2, 2, 3, 2)",1,1
"(3, 1, 3, 4, 2)",26,1
"(3, 1, 3, 3, 3)",67,1
"(2, 4, 3, 2, 4)",0,1
"(2, 4, 3, 2, 1)",0,1
"(3, 1, 3, 3, 2)",1,1
"(1, 3, 2, 4, 2)",0,1
"(3, 1, 2, 2, 2)",1,1
"(3, 1, 3, 4, 3)",353,1
"(3, 1, 1, 3, 3)",1,1
"(3, 1, 2, 1, 2)",1,1
"(3, 1, 1, 3, 1)",1,1
"(2, 4, 4, 1, 2)",0,1
"(1, 1, 1, 4, 1)",0,1
"(3, 1, 3, 2, 2)",0,1
"(3, 1, 3, 1, 2)",2,1
"(1, 1, 1, 1, 3)",0,1
